Occupation Code,Title,Description,Sample Job Titles,Tasks,Knowledge,Skills,Abilities,Work Activities,Detailed Work Activities,Tools Used,Technology Used,Job Zone,Education Level,Experience Required,Job Training,SVP Range,Job Zone Examples,Interests,Work Styles,Work Values,Work Context,Additional Sources,Related Occupations,Annual 10th Percentile,Annual 25th Percentile,Annual Median Wage,Annual 75th Percentile,Annual 90th Percentile
43-6011.00,Executive Secretaries and Executive Administrative Assistants,"Provide high-level administrative support by conducting research, preparing statistical reports, and handling information requests, as well as performing routine administrative functions such as preparing correspondence, receiving visitors, arranging conference calls, and scheduling meetings. May also train and supervise lower-level clerical staff.","Administrative Aide, Administrative Assistant, Administrative Associate, Administrative Coordinator, Administrative Secretary, Administrative Specialist, Executive Administrative Assistant, Executive Assistant, Executive Secretary, Office Assistant","Manage and maintain executives' schedules., Make travel arrangements for executives., Prepare invoices, reports, memos, letters, financial statements, and other documents, using word processing, spreadsheet, database, or presentation software., Coordinate and direct office services, such as records, departmental finances, budget preparation, personnel issues, and housekeeping, to aid executives., Answer phone calls and direct calls to appropriate parties or take messages.","Administrative, English Language, Customer and Personal Service, Computers and Electronics, Administration and Management","Active Listening, Reading Comprehension, Speaking, Service Orientation, Writing","Oral Comprehension, Oral Expression, Speech Recognition, Written Comprehension, Written Expression","Communicating with Supervisors, Peers, or Subordinates, Establishing and Maintaining Interpersonal Relationships, Getting Information, Organizing, Planning, and Prioritizing Work, Communicating with People Outside the Organization","Schedule operational activities., Execute sales or other financial transactions., Make travel, accommodations, or entertainment arrangements for others., Prepare research or technical reports., Maintain medical records.","Photocopying equipment, Data input scanners, Electric typewriters, Laptop computers","Microsoft Dynamics, Microsoft Dynamics GP, Oracle PeopleSoft, SAP software, Facebook, Google Sites, LinkedIn, ProQuest RefWorks RefShare, Adobe Illustrator, Adobe Photoshop, Graphics software, JamBoard, Cisco Webex, Google Meet, LogMeIn GoToMeeting, Zoom, Evernote, Google Docs, Microsoft OneNote, Microsoft Word",Job Zone Three: Medium Preparation Needed,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree.","Previous work-related skill, knowledge, or experience is required for these occupations. For example, an electrician must have completed three or four years of apprenticeship or several years of vocational training, and often must have passed a licensing exam, in order to perform the job.",Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers. A recognized apprenticeship program may be associated with these occupations.,(6.0 to < 7.0),"These occupations usually involve using communication and organizational skills to coordinate, supervise, manage, or train others to accomplish goals. Examples include hydroelectric production managers, desktop publishers, electricians, agricultural technicians, barbers, court reporters and simultaneous captioners, and medical assistants.","Conventional, Enterprising, Social","Attention to Detail, Integrity, Dependability, Cooperation, Adaptability/Flexibility","Relationships, Support, Working Conditions","Telephone Conversations, E-Mail, Contact With Others, Determine Tasks, Priorities and Goals, Face-to-Face Discussions with Individuals and Within Teams","American Business Women's Association, Association of Executive and Administrative Professionals, International Association of Administrative Professionals, International Virtual Assistants Association, National Association for Legal Support Professionals, National Association of Legal Assistants, National Notary Association, Society for Human Resource Management","Administrative Services Managers (11-3012.00), First-Line Supervisors of Office and Administrative Support Workers (43-1011.00), Human Resources Assistants, Except Payroll and Timekeeping (43-4161.00), Legal Secretaries and Administrative Assistants (43-6012.00), Secretaries and Administrative Assistants, Except Legal, Medical, and Executive (43-6014.00)",45910.0,56960,70310,84860,104000
29-1128.00,Exercise Physiologists,"Assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility.","Bariatric Weight Loss Counselor, Certified Exercise Physiologist (EPC), Clinical Exercise Physiologist, Clinical Exercise Specialist, Exercise Physiologist, Exercise Scientist, Exercise Specialist, Lifestyle and Weight Management Consultant","Develop exercise programs to improve participant strength, flexibility, endurance, or circulatory functioning, in accordance with exercise science standards, regulatory requirements, and credentialing requirements., Provide emergency or other appropriate medical care to participants with symptoms or signs of physical distress., Demonstrate correct use of exercise equipment or performance of exercise routines., Recommend methods to increase lifestyle physical activity., Interpret exercise program participant data to evaluate progress or identify needed program changes.","Customer and Personal Service, Medicine and Dentistry, Education and Training, Therapy and Counseling, English Language","Active Listening, Critical Thinking, Instructing, Reading Comprehension, Speaking","Oral Expression, Problem Sensitivity, Deductive Reasoning, Inductive Reasoning, Oral Comprehension","Assisting and Caring for Others, Establishing and Maintaining Interpersonal Relationships, Getting Information, Interpreting the Meaning of Information for Others, Documenting/Recording Information","Develop exercise or conditioning programs., Treat medical emergencies., Demonstrate activity techniques or equipment use., Teach exercise or fitness techniques., Provide health and wellness advice to patients, program participants, or caregivers.","Isokinetic dynamometers, Muscle strength dynamometers, Whole body air plethysmography systems, Intravenous IV infusion pumps, Automated external defibrillators AED, Metabolic carts","Email software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Excel, MEDITECH software, Microsoft Office software",Job Zone Four: Considerable Preparation Needed,"Most of these occupations require a four-year bachelor's degree, but some do not.","A considerable amount of work-related skill, knowledge, or experience is needed for these occupations. For example, an accountant must complete four years of college and work for several years in accounting to be considered qualified.","Employees in these occupations usually need several years of work-related experience, on-the-job training, and/or vocational training.",(7.0 to < 8.0),"Many of these occupations involve coordinating, supervising, managing, or training others. Examples include real estate brokers, sales managers, database administrators, graphic designers, conservation scientists, art directors, and cost estimators.","Realistic, Investigative, Social","Dependability, Integrity, Concern for Others, Cooperation, Self-Control","Relationships, Achievement, Independence","Face-to-Face Discussions with Individuals and Within Teams, Indoors, Environmentally Controlled, Contact With Others, E-Mail, Telephone Conversations","Clinical Exercise Physiology Association, American Academy of Physical Medicine and Rehabilitation, American Association of Cardiovascular and Pulmonary Rehabilitation, American College of Sports Medicine, American Council on Exercise, American Physical Therapy Association, American Physiological Society, American Society of Exercise Physiologists, Athletics and Fitness Association of America, Commission on Accreditation of Allied Health Education Programs","Athletic Trainers (29-9091.00), Exercise Trainers and Group Fitness Instructors (39-9031.00), Physical Medicine and Rehabilitation Physicians (29-1229.04), Physical Therapist Assistants (31-2021.00), Physical Therapists (29-1123.00)",35460.0,45870,54860,64110,77680
39-9031.00,Exercise Trainers and Group Fitness Instructors,"Instruct or coach groups or individuals in exercise activities for the primary purpose of personal fitness. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills. Develop and implement individualized approaches to exercise.","Aerobics Instructor, Fitness Instructor, Fitness Specialist, Fitness Technician, Fitness Trainer, Group Exercise Instructor, Group Fitness Instructor, Personal Trainer, Private Trainer, Yoga Instructor","Observe participants and inform them of corrective measures necessary for skill improvement., Evaluate individuals' abilities, needs, and physical conditions, and develop suitable training programs to meet any special requirements., Plan routines, choose appropriate music, and choose different movements for each set of muscles, depending on participants' capabilities and limitations., Offer alternatives during classes to accommodate different levels of fitness., Teach proper breathing techniques used during physical exertion.","Customer and Personal Service, English Language, Education and Training, Psychology","Instructing, Service Orientation, Speaking, Active Listening, Learning Strategies","Extent Flexibility, Gross Body Coordination, Oral Expression, Stamina, Speech Clarity","Performing General Physical Activities, Establishing and Maintaining Interpersonal Relationships, Performing for or Working Directly with the Public, Coaching and Developing Others, Training and Teaching Others","Teach exercise or fitness techniques., Develop educational or training programs., Evaluate capabilities or training needs., Enforce rules or regulations., Explain regulations, policies, or procedures.","Fitness jog belts, Free weights, Water ankle weights, Weighted swim vests, Balance boards, Balance disks, Medicine balls, Weighted exercise balls, Exercise tubing","Intuit QuickBooks, MYOB BusinessEssentials, Sage 50 Accounting, Sage Simply Accounting, Blink, BioEx Systems Exercise Expert, DietMaster Systems DietMaster, ICTraining, Email software, Microsoft Outlook, BioEx Systems Fitness Maker, Online River Software Personal Trainer Pro",Job Zone Three: Medium Preparation Needed,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree.","Previous work-related skill, knowledge, or experience is required for these occupations. For example, an electrician must have completed three or four years of apprenticeship or several years of vocational training, and often must have passed a licensing exam, in order to perform the job.",Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers. A recognized apprenticeship program may be associated with these occupations.,(6.0 to < 7.0),"These occupations usually involve using communication and organizational skills to coordinate, supervise, manage, or train others to accomplish goals. Examples include hydroelectric production managers, desktop publishers, electricians, agricultural technicians, barbers, court reporters and simultaneous captioners, and medical assistants.","Social, Realistic","Dependability, Concern for Others, Integrity, Social Orientation, Self-Control","Relationships, Achievement, Independence","Contact With Others, Face-to-Face Discussions with Individuals and Within Teams, Physical Proximity, Indoors, Environmentally Controlled, E-Mail","AAAI/ISMA Fitness, American College of Sports Medicine, American Council on Exercise, American Sports and Fitness Association, Aquatic Exercise Association, Athletics and Fitness Association of America, Health and Fitness Association, IDEA Health and Fitness Association, National Academy of Sports Medicine, National Strength and Conditioning Association","Coaches and Scouts (27-2022.00), Exercise Physiologists (29-1128.00), Fitness and Wellness Coordinators (11-9179.01), Recreational Therapists (29-1125.00), Self-Enrichment Teachers (25-3021.00)",26840.0,33700,46480,61610,80740
47-5032.00,"Explosives Workers, Ordnance Handling Experts, and Blasters","Place and detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials. May perform specialized handling, storage, and accounting procedures.","Blast Hole Driller, Blaster, Explosive Technician, Powderman, Unexploded Ordnance Quality Control Officer","Examine blast areas to determine amounts and kinds of explosive charges needed and to ensure that safety laws are observed., Tie specified lengths of delaying fuses into patterns in order to time sequences of explosions., Place safety cones around blast areas to alert other workers of danger zones, and signal workers as necessary to ensure that they clear blast sites prior to explosions., Place explosive charges in holes or other spots; then detonate explosives to demolish structures or to loosen, remove, or displace earth, rock, or other materials., Insert, pack, and pour explosives, such as dynamite, ammonium nitrate, black powder, or slurries into blast holes; then shovel drill cuttings, admit water into boreholes, and tamp material to compact charges.","Public Safety and Security, Law and Government, Mathematics, Engineering and Technology, Administration and Management","Active Listening, Monitoring, Critical Thinking, Judgment and Decision Making, Operation and Control","Manual Dexterity, Near Vision, Problem Sensitivity, Arm-Hand Steadiness, Deductive Reasoning","Making Decisions and Solving Problems, Getting Information, Documenting/Recording Information, Evaluating Information to Determine Compliance with Standards, Performing General Physical Activities","Determine operational compliance with regulations or standards., Select tools, equipment, or technologies for use in operations or projects., Prepare explosives for detonation., Direct construction or extraction personnel., Position safety or support equipment.","Instantaneous electrical detonators, Remote firing devices, Shock tube detonators, Short period delay detonators, Stakebed trucks, Tractor-trailer trucks, Transport trucks, Work trucks, Digital voltmeters, Millivoltmeters, Non-contact voltage testers, Test lamps, Bore hole thermometers, Handheld remote thermometers, Temperature data loggers, Air rotary drills, Blasthole drills, Core drill rigs","Microsoft Excel, Microsoft PowerPoint, Blaster's Tool and Supply Company Blaster's Calculator, Datavis DBS Designer, DetNet ViewShot, ESRI ArcGIS software, Microsoft Outlook",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Conventional, Investigative","Attention to Detail, Dependability, Integrity, Self-Control, Stress Tolerance","Support, Independence, Working Conditions","Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets, Outdoors, Exposed to All Weather Conditions, Exposed to Hazardous Conditions, Face-to-Face Discussions with Individuals and Within Teams, Health and Safety of Other Workers","International Society of Explosives Engineers, National Ground Water Association","Continuous Mining Machine Operators (47-5041.00), Earth Drillers, Except Oil and Gas (47-5023.00), Excavating and Loading Machine and Dragline Operators, Surface Mining (47-5022.00), Helpers--Extraction Workers (47-5081.00), Rotary Drill Operators, Oil and Gas (47-5012.00)",42670.0,49710,61590,79580,89400
47-5099.00,"Extraction Workers, All Other",All extraction workers not listed separately.,,,,,,,,,,,,,,,,,,,,,,34180.0,38830,49580,62610,76570
51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","Set up, operate, or tend machines to extrude or draw thermoplastic or metal materials into tubes, rods, hoses, wire, bars, or structural shapes.","Equipment Technician, Extruder Operator, Extrusion Operator, Extrusion Press Operator, Machine Operator, Metal Inspector, Setup Operator, Wire Mill Operator, Wire Mill Rover","Measure and examine extruded products to locate defects and to check for conformance to specifications, adjusting controls as necessary to alter products., Determine setup procedures and select machine dies and parts, according to specifications., Start machines and set controls to regulate vacuum, air pressure, sizing rings, and temperature, and to synchronize speed of extrusion., Reel extruded products into rolls of specified lengths and weights., Install dies, machine screws, and sizing rings on machines that extrude thermoplastic or metal materials.","Production and Processing, Mathematics, English Language","Operations Monitoring, Operation and Control, Critical Thinking, Judgment and Decision Making, Monitoring","Control Precision, Manual Dexterity, Multilimb Coordination, Reaction Time, Near Vision","Controlling Machines and Processes, Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Getting Information, Inspecting Equipment, Structures, or Materials","Inspect metal, plastic, or composite products., Measure dimensions of completed products or workpieces to verify conformance to specifications., Select production equipment according to product specifications., Determine production equipment settings., Operate metal or plastic forming equipment.","Blown film extruders, Single screw extruders, Tubing extruders, Twin screw extruders, Braiders, Dummy blocks, Plastic profile extrusion dies, Plastic sheet extrusion dies, Die changers, Die holders, Die shuffles, Die slides, Extrusion press conveyors, Plate conveyors, Slat conveyors, Paddle blenders, Ribbon blenders, Sigma blade mixers","Microsoft Excel, Microsoft PowerPoint, Microsoft Outlook, SAP software, Enterprise application integration EAI software",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Conventional","Dependability, Attention to Detail, Self-Control, Integrity, Cooperation","Support, Relationships, Independence","Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets, Pace Determined by Speed of Equipment, Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable, Frequency of Decision Making, Spend Time Standing","Association for Manufacturing Technology, Fabricators and Manufacturers Association, National Institute for Metalworking Skills, National Tooling and Machining Association, Precision Machined Products Association, Precision Metalforming Association","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic (51-4031.00), Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers (51-6091.00), Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic (51-4072.00), Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic (51-4081.00), Rolling Machine Setters, Operators, and Tenders, Metal and Plastic (51-4023.00)",32050.0,37320,44390,50800,59930
51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","Set up, operate, or tend machines that extrude and form continuous filaments from synthetic materials, such as liquid polymer, rayon, and fiberglass.","Extruder, Extruder Operator, Extrusion Line Operator, Extrusion Operator, Granulator, Hot End Operator, Pelletizer Operator, Pot Tipper, Spindraw Operator, Stretch Operator","Set up, operate, or tend machines that extrude and form filaments from synthetic materials such as rayon, fiberglass, or liquid polymers., Press buttons to stop machines when processes are complete or when malfunctions are detected., Notify other workers of defects, and direct them to adjust extruding and forming machines., Observe machine operations, control boards, and gauges to detect malfunctions such as clogged bushings and defective binder applicators., Load materials into extruding and forming machines, using hand tools, and adjust feed mechanisms to set feed rates.","Production and Processing, English Language, Education and Training, Mathematics, Mechanical","Operations Monitoring, Operation and Control, Monitoring, Active Listening, Complex Problem Solving","Control Precision, Problem Sensitivity, Near Vision, Arm-Hand Steadiness, Finger Dexterity","Getting Information, Controlling Machines and Processes, Monitoring Processes, Materials, or Surroundings, Identifying Objects, Actions, and Events, Inspecting Equipment, Structures, or Materials","Operate metal or plastic forming equipment., Adjust equipment controls to regulate flow of production materials or products., Notify others of equipment repair or maintenance needs., Signal others to coordinate work activities., Monitor equipment operation to ensure proper functioning.","Digital micrometers, Laser micrometers, Glass material extruders, Synthetic material extruders, Gravimetric feeders, Polymer feed systems, Dial indicators, Stapling machines","Microsoft Excel, Camstar Manufacturing Execution System MES, Statistical process control SPC software, Microsoft Outlook, SAP software, Microsoft Office software",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Conventional","Attention to Detail, Self-Control, Integrity, Dependability, Cooperation","Support, Relationships, Independence","Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets, Face-to-Face Discussions with Individuals and Within Teams, Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable, Exposed to Contaminants, Work With or Contribute to a Work Group or Team",Plastics Industry Association,"Adhesive Bonding Machine Operators and Tenders (51-9191.00), Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic (51-4021.00), Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders (51-9041.00), Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic (51-4072.00), Paper Goods Machine Setters, Operators, and Tenders (51-9196.00)",33510.0,37980,44030,49990,60380
51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","Set up, operate, or tend machines, such as glass-forming machines, plodder machines, and tuber machines, to shape and form products such as glassware, food, rubber, soap, brick, tile, clay, wax, tobacco, or cosmetics.","Extruder Operator, Extrusion Operator, Glass Forming Crew Member, Machine Operator, Press Operator, Tuber Operator","Adjust machine components to regulate speeds, pressures, and temperatures, and amounts, dimensions, and flow of materials or ingredients., Press control buttons to activate machinery and equipment., Examine, measure, and weigh materials or products to verify conformance to standards, using measuring devices such as templates, micrometers, or scales., Monitor machine operations and observe lights and gauges to detect malfunctions., Clear jams, and remove defective or substandard materials or products.","Production and Processing, Mechanical, Computers and Electronics","Operation and Control, Operations Monitoring, Monitoring, Speaking, Active Listening","Perceptual Speed, Rate Control, Reaction Time, Arm-Hand Steadiness, Manual Dexterity","Controlling Machines and Processes, Getting Information, Inspecting Equipment, Structures, or Materials, Monitoring Processes, Materials, or Surroundings, Communicating with Supervisors, Peers, or Subordinates","Operate metal or plastic forming equipment., Adjust equipment controls to regulate flow of production materials or products., Adjust temperature controls of ovens or other heating equipment., Measure dimensions of completed products or workpieces to verify conformance to specifications., Inspect metal, plastic, or composite products.","Computer numerically controlled CNC Extruders, Single screw extruders, Tuber machines, Twin-barrel extrusion machines, Compacting machines, Forming machines, Glass forming machines, Digital micrometers, Laser micrometers, Film winders, Trim winders, Scrap grinders, Trim grinders","Microsoft Excel, Microsoft Outlook, SAP software, Microsoft Office software, Microsoft Word",Job Zone Two: Some Preparation Needed,These occupations usually require a high school diploma.,"Some previous work-related skill, knowledge, or experience is usually needed. For example, a teller would benefit from experience working directly with the public.",Employees in these occupations need anywhere from a few months to one year of working with experienced employees. A recognized apprenticeship program may be associated with these occupations.,(4.0 to < 6.0),"These occupations often involve using your knowledge and skills to help others. Examples include orderlies, counter and rental clerks, customer service representatives, security guards, upholsterers, tellers, and dental laboratory technicians.","Realistic, Conventional","Attention to Detail, Dependability, Cooperation, Initiative, Self-Control","Support, Independence, Relationships","Wear Common Protective or Safety Equipment such as Safety Shoes, Glasses, Gloves, Hearing Protection, Hard Hats, or Life Jackets, Spend Time Standing, Exposed to Sounds, Noise Levels that are Distracting or Uncomfortable, Face-to-Face Discussions with Individuals and Within Teams, Pace Determined by Speed of Equipment","Manufacturers Alliance, National Tooling and Machining Association","Adhesive Bonding Machine Operators and Tenders (51-9191.00), Cutting and Slicing Machine Setters, Operators, and Tenders (51-9032.00), Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers (51-6091.00), Machine Feeders and Offbearers (53-7063.00), Paper Goods Machine Setters, Operators, and Tenders (51-9196.00)",32100.0,36810,42670,49730,61350
51-6092.00,Fabric and Apparel Patternmakers,Draw and construct sets of precision master fabric patterns or layouts. May also mark and cut fabrics and apparel.,"Cutter, Designer, Fabric Cutter, Pattern Designer, Pattern Maker, Pattern Technician, Production Pattern Maker, Sewing Pattern Layout Technician, Technical Designer","Create a master pattern for each size within a range of garment sizes, using charts, drafting instruments, computers, or grading devices., Input specifications into computers to assist with pattern design and pattern cutting., Draw details on outlined parts to indicate where parts are to be joined, as well as the positions of pleats, pockets, buttonholes, and other features, using computers or drafting instruments., Make adjustments to patterns after fittings., Compute dimensions of patterns according to sizes, considering stretching of material.","Design, Mathematics, English Language, Production and Processing, Education and Training","Critical Thinking, Active Listening, Judgment and Decision Making, Time Management, Active Learning","Near Vision, Visualization, Information Ordering, Originality, Deductive Reasoning","Getting Information, Communicating with Supervisors, Peers, or Subordinates, Monitoring Processes, Materials, or Surroundings, Identifying Objects, Actions, and Events, Thinking Creatively","Design templates or patterns., Program equipment to perform production tasks., Draw guide lines or markings on materials or workpieces using patterns or other references., Adjust fabrics or other materials during garment production., Calculate dimensions of workpieces, products, or equipment.","Curve sticks, Hip curve rulers, See-through rulers, Yard sticks, Pattern punches, Screw punches, Fabric shears, Pattern paper cutters, Seam rippers, Pattern boards","Adobe Illustrator, Adobe Photoshop, Autodesk AutoCAD, Gerber Technology AccuMark, PatternMaker, Microsoft Excel, Microsoft Outlook, Microsoft Office software",Job Zone Three: Medium Preparation Needed,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree.","Previous work-related skill, knowledge, or experience is required for these occupations. For example, an electrician must have completed three or four years of apprenticeship or several years of vocational training, and often must have passed a licensing exam, in order to perform the job.",Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers. A recognized apprenticeship program may be associated with these occupations.,(6.0 to < 7.0),"These occupations usually involve using communication and organizational skills to coordinate, supervise, manage, or train others to accomplish goals. Examples include hydroelectric production managers, desktop publishers, electricians, agricultural technicians, barbers, court reporters and simultaneous captioners, and medical assistants.","Realistic, Artistic, Conventional","Attention to Detail, Dependability, Adaptability/Flexibility, Integrity, Initiative","Support, Relationships, Working Conditions","Face-to-Face Discussions with Individuals and Within Teams, Importance of Being Exact or Accurate, Contact With Others, Work With or Contribute to a Work Group or Team, Freedom to Make Decisions","American Apparel and Footwear Association, International Apparel Federation","Fashion Designers (27-1022.00), Patternmakers, Metal and Plastic (51-4062.00), Patternmakers, Wood (51-7032.00), Sewers, Hand (51-6051.00), Tailors, Dressmakers, and Custom Sewers (51-6052.00)",31780.0,40760,62510,82340,106870
11-3013.00,Facilities Managers,"Plan, direct, or coordinate operations and functionalities of facilities and buildings. May include surrounding grounds or multiple facilities of an organization's campus.","Building Maintenance Superintendent, Building Services Supervisor, Facilities Coordinator, Facilities Director, Facilities Engineer, Facilities Maintenance Manager, Facilities Manager, Facilities Operations Manager (Facilities Ops Manager), Facilities Operations Specialist (Facilities Ops Specialist), Maintenance Superintendent","Monitor the facility to ensure that it remains safe, secure, and well-maintained., Oversee the maintenance and repair of machinery, equipment, and electrical and mechanical systems., Oversee construction and renovation projects to improve efficiency and to ensure that facilities meet environmental, health, and security standards, and comply with government regulations., Plan, administer, and control budgets for contracts, equipment, and supplies., Participate in architectural and engineering planning and design, including space and installation management.","Customer and Personal Service, Administration and Management, English Language, Public Safety and Security, Personnel and Human Resources","Speaking, Active Listening, Critical Thinking, Monitoring, Reading Comprehension","Information Ordering, Oral Comprehension, Oral Expression, Problem Sensitivity, Written Comprehension","Making Decisions and Solving Problems, Communicating with Supervisors, Peers, or Subordinates, Getting Information, Identifying Objects, Actions, and Events, Organizing, Planning, and Prioritizing Work","Monitor facilities or operational systems., Direct facility maintenance or repair activities., Manage construction activities., Prepare operational budgets., Plan facility layouts or designs.","Photocopying equipment, Laptop computers, Multi-line telephone systems, Laser facsimile machines, 10-key calculators","Microsoft Dynamics, Microsoft Dynamics GP, Oracle PeopleSoft, SAP software, Google Docs, Microsoft Word, Email software, IBM Notes, MicroFocus GroupWise, Microsoft Outlook, FileMaker Pro, Microsoft Access, Sage 300 Construction and Real Estate, Yardi software, Fund accounting software, Intuit QuickBooks, Sage 50 Accounting",Job Zone Three: Medium Preparation Needed,"Most occupations in this zone require training in vocational schools, related on-the-job experience, or an associate's degree.","Previous work-related skill, knowledge, or experience is required for these occupations. For example, an electrician must have completed three or four years of apprenticeship or several years of vocational training, and often must have passed a licensing exam, in order to perform the job.",Employees in these occupations usually need one or two years of training involving both on-the-job experience and informal training with experienced workers. A recognized apprenticeship program may be associated with these occupations.,(6.0 to < 7.0),"These occupations usually involve using communication and organizational skills to coordinate, supervise, manage, or train others to accomplish goals. Examples include hydroelectric production managers, desktop publishers, electricians, agricultural technicians, barbers, court reporters and simultaneous captioners, and medical assistants.","Enterprising, Conventional, Realistic","Integrity, Dependability, Self-Control, Concern for Others, Cooperation",,"E-Mail, Face-to-Face Discussions with Individuals and Within Teams, Contact With Others, Telephone Conversations, Determine Tasks, Priorities and Goals","American Hotel and Lodging Association, American Institute of Architects, American National Standards Institute, American Planning Association, American Public Works Association, American Society for Quality, American Society of Civil Engineers, American Society of Safety Professionals, ARMA International, ASHRAE","Administrative Services Managers (11-3012.00), Construction Managers (11-9021.00), First-Line Supervisors of Housekeeping and Janitorial Workers (37-1011.00), General and Operations Managers (11-1021.00), Maintenance and Repair Workers, General (49-9071.00)",60840.0,78130,102340,133990,169020
